Дата,UserID,Продукт,Количество,Цена
2024-06-07,5013,Товар4,6,94.21
2023-11-25,2841,Товар4,5,17.52
2024-03-24,8421,Товар1,2,20.91
2023-12-29,9370,Товар5,1,63.88
2023-09-17,5328,Товар4,3,32.94
2024-05-13,1328,Товар5,2,77.24
2023-11-10,6552,Товар4,10,90.83
2024-02-27,5773,Товар2,4,91.04
2023-08-15,9251,Товар4,3,83.44
2023-08-10,7267,Товар3,7,72.51
2024-01-14,1455,Товар3,9,27.42
2023-10-07,5493,Товар1,7,22.92
2023-12-27,4710,Товар5,2,37.73
2024-05-18,2903,Товар4,2,24.61
2023-09-16,1862,Товар1,3,99.37
2024-01-06,9868,Товар4,2,61.83
2023-11-26,2102,Товар3,4,72.97
2023-08-18,5936,Товар3,10,97.93
2023-11-24,7169,Товар4,2,72.66
2024-07-01,1836,Товар5,6,71.37
2023-08-15,4460,Товар1,2,31.8
2024-04-12,5630,Товар2,1,34.55
2023-10-06,6894,Товар4,7,40.83
2024-02-12,4071,Товар1,6,93.83
2023-08-02,6635,Товар2,9,13.96
2023-08-09,4658,Товар4,5,54.44
2024-04-19,8320,Товар5,6,41.46
2023-10-13,4704,Товар5,8,63.63
2024-07-09,5410,Товар5,10,61.9
2024-02-16,4042,Товар3,9,58.66
2023-09-22,8060,Товар4,4,41.11
2024-02-12,4531,Товар4,7,58.32
2024-03-16,2412,Товар4,6,94.98
2024-05-20,5437,Товар2,6,82.49
2023-08-26,3967,Товар1,10,40.38
2024-03-05,5851,Товар3,3,73.25
2023-10-31,5186,Товар3,5,17.48
2023-10-12,4851,Товар1,9,21.56
2024-07-09,8072,Товар4,10,29.7
2023-11-27,5717,Товар4,7,65.95
2023-09-25,7472,Товар5,7,81.45
2023-08-08,7842,Товар4,5,53.91
2023-10-19,1638,Товар1,5,98.98
2023-11-20,4833,Товар3,3,39.83
2023-09-16,1032,Товар1,1,70.62
2023-11-05,8638,Товар5,6,29.87
2024-06-01,5008,Товар1,7,81.63
2024-06-11,2744,Товар1,10,87.95
2024-07-15,9922,Товар2,1,96.02
2023-08-09,3958,Товар2,4,89.12
2023-10-24,8055,Товар4,9,27.44
2024-02-11,2157,Товар1,1,71.94
2023-11-16,9992,Товар1,8,57.45
2023-09-27,7734,Товар1,3,46.95
2024-05-12,5519,Товар1,1,60.98
2023-08-30,6988,Товар5,9,50.96
2023-10-04,3560,Товар2,4,38.22
2024-04-25,9205,Товар5,3,54.36
2024-01-27,4929,Товар3,6,48.39
2024-02-29,4782,Товар2,2,93.98
2024-07-16,4362,Товар1,7,58.85
2023-09-27,6106,Товар5,6,71.77
2023-11-07,5490,Товар3,9,29.58
2023-11-15,6048,Товар5,3,76.85
2023-10-13,8960,Товар4,1,26.75
2023-10-16,8479,Товар3,6,68.1
2023-09-23,3162,Товар4,7,73.73
2023-08-31,2461,Товар1,7,33.56
2024-06-22,9850,Товар1,8,22.03
2023-08-15,9828,Товар2,1,27.06
2023-08-13,8471,Товар4,5,75.01
2024-06-08,8149,Товар2,6,35.2
2024-03-29,4383,Товар4,5,61.64
2024-03-21,1807,Товар2,4,55.71
2024-01-02,9837,Товар5,2,68.1
2024-05-02,4785,Товар3,3,11.91
2023-09-28,5218,Товар1,3,62.29
2024-02-27,2719,Товар1,8,85.8
2024-05-24,2703,Товар5,10,94.82
2023-08-10,5832,Товар3,2,82.81
2023-09-23,2147,Товар1,4,74.44
2023-07-30,8406,Товар2,3,89.57
2024-06-09,1587,Товар1,8,59.19
2023-11-08,5449,Товар5,4,69.03
2024-05-27,6378,Товар5,3,11.37
2023-08-10,6867,Товар4,4,81.5
2023-10-02,9072,Товар2,9,22.13
2023-09-20,3845,Товар4,1,94.57
2024-07-04,7739,Товар4,4,76.14
2023-12-10,3517,Товар3,5,34.05
2024-05-13,1276,Товар2,4,84.39
2023-10-19,8462,Товар5,10,33.47
2023-09-26,9089,Товар2,5,33.37
2024-01-08,5561,Товар1,10,59.7
2024-02-03,2896,Товар4,2,95.94
2023-08-01,7333,Товар3,4,40.49
2023-12-26,4146,Товар5,5,25.18
2023-12-08,2770,Товар4,6,44.05
2023-11-06,9901,Товар5,5,82.86
2023-10-03,5691,Товар5,1,11.36
2023-12-05,5744,Товар5,9,24.01
2023-09-01,4799,Товар5,9,79.93
2023-08-09,9118,Товар5,8,52.79
2024-04-20,6790,Товар2,8,72.28
2024-05-29,2472,Товар1,9,84.51
2023-08-12,4706,Товар3,3,46.92
2024-06-09,1962,Товар1,4,41.35
2023-08-03,7843,Товар1,6,93.69
2024-04-13,9400,Товар2,10,72.78
2024-05-17,6108,Товар5,9,16.79
2024-03-16,1435,Товар5,1,53.03
2023-12-17,5379,Товар1,1,94.37
2023-08-07,9694,Товар4,1,91.31
2023-08-13,7309,Товар2,7,64.0
2024-02-05,3507,Товар2,7,50.55
2023-12-15,6719,Товар2,8,57.39
2024-03-10,6229,Товар5,4,80.32
2023-10-28,9610,Товар5,4,73.3
2024-04-16,4731,Товар2,10,77.51
2023-12-27,1554,Товар2,6,94.65
2023-07-27,4010,Товар1,5,24.27
2023-08-27,8635,Товар5,1,97.53
2024-06-30,3268,Товар3,10,74.21
2024-05-02,5694,Товар5,3,35.63
2023-10-06,4419,Товар1,1,97.57
2024-01-02,7948,Товар2,9,92.77
2023-08-07,9729,Товар4,8,46.17
2024-05-10,7263,Товар4,1,63.94
2024-07-21,7208,Товар3,4,57.29
2023-11-21,7593,Товар2,10,65.31
2024-01-16,4721,Товар5,8,16.36
2023-12-09,8852,Товар4,8,29.2
2024-04-16,4898,Товар4,10,91.39
2024-03-20,7142,Товар2,9,86.65
2024-05-28,6367,Товар5,8,21.82
2023-08-24,6045,Товар2,2,35.03
2023-12-14,9085,Товар2,10,79.35
2024-02-27,5156,Товар3,4,77.86
2023-07-30,1119,Товар4,7,87.38
2023-09-27,2710,Товар2,7,56.71
2024-02-18,4651,Товар3,3,46.53
2023-12-03,6879,Товар5,10,46.19
2023-11-21,4468,Товар4,8,31.8
2024-07-17,8798,Товар3,4,57.43
2024-04-28,1481,Товар5,6,87.58
2024-01-04,1127,Товар4,8,63.83
2023-09-27,6230,Товар1,8,19.04
2024-07-01,3117,Товар1,4,19.52
2024-05-26,1290,Товар5,1,52.35
2024-01-27,1102,Товар4,4,81.45
2023-12-16,6749,Товар5,1,65.73
2024-04-13,3061,Товар1,5,56.26
2023-12-19,6439,Товар4,10,85.9
2023-08-07,9703,Товар3,2,54.49
2024-01-08,1912,Товар2,1,61.91
2024-05-10,3125,Товар2,2,46.69
2024-01-31,7446,Товар2,10,50.99
2023-09-13,5278,Товар4,1,44.9
2024-03-21,1790,Товар3,6,58.94
2023-11-10,7479,Товар4,9,55.92
2024-07-16,5899,Товар2,6,50.84
2023-09-09,8354,Товар3,9,95.14
2024-07-14,2612,Товар1,7,15.43
2023-11-05,4622,Товар3,6,90.59
2023-10-31,4033,Товар4,1,41.36
2023-07-29,5106,Товар1,6,89.59
2023-11-15,1866,Товар2,10,93.15
2023-11-19,6194,Товар4,2,32.42
2023-12-27,2821,Товар4,4,38.34
2023-09-25,1159,Товар2,7,34.85
2023-09-17,3543,Товар1,6,78.59
2023-07-29,8091,Товар1,8,62.56
2024-02-20,7099,Товар2,5,52.55
2024-04-02,2352,Товар5,9,76.69
2023-07-26,8300,Товар4,9,77.54
2024-04-06,4358,Товар2,9,82.37
2023-12-27,7483,Товар2,6,75.69
2024-07-16,6440,Товар1,7,86.44
2024-05-04,4684,Товар2,7,97.97
2023-11-04,7940,Товар4,10,81.98
2023-07-27,2895,Товар1,6,55.39
2024-07-18,4494,Товар5,5,47.32
2024-03-30,2045,Товар4,5,63.57
2024-02-11,7047,Товар1,1,90.55
2024-05-20,3231,Товар1,7,92.8
2024-05-18,6631,Товар4,1,26.17
2024-01-04,6545,Товар4,10,40.92
2024-05-15,2479,Товар2,7,12.53
2023-11-11,9469,Товар3,6,57.55
2024-02-29,9934,Товар5,5,79.24
2023-12-02,1998,Товар2,6,96.29
2024-04-29,1135,Товар1,7,97.42
2023-08-27,5020,Товар1,9,23.54
2023-11-05,1745,Товар1,9,46.73
2023-10-18,1793,Товар2,8,21.46
2024-04-27,2170,Товар4,10,35.77
2023-09-08,3497,Товар4,8,28.54
2024-02-28,8198,Товар2,6,31.78
2024-06-16,5542,Товар5,1,44.13
2024-06-12,5619,Товар1,10,61.33
2024-06-13,1507,Товар5,7,92.77
2024-03-01,6266,Товар1,10,23.07
2023-08-29,8201,Товар2,9,88.35
2024-05-21,9777,Товар4,3,78.27
2024-07-10,7916,Товар1,6,17.92
2024-01-27,4432,Товар5,8,67.18
2023-08-02,7861,Товар1,10,66.01
2023-12-28,5631,Товар3,8,95.27
2024-03-03,4423,Товар5,5,11.98
2023-09-20,2623,Товар2,9,21.9
2024-07-03,7003,Товар5,4,69.15
2024-04-14,6562,Товар4,8,87.75
2023-07-31,9221,Товар4,7,94.59
2024-02-08,5547,Товар4,9,90.51
2024-05-23,2553,Товар2,8,75.9
2024-03-14,7259,Товар5,5,10.07
2024-01-28,9662,Товар3,7,29.26
2024-04-29,4083,Товар2,10,17.06
2024-06-03,3217,Товар1,8,12.18
2024-06-23,2667,Товар2,5,56.97
2024-06-23,1261,Товар3,3,99.03
2024-02-11,6433,Товар1,9,73.47
2024-03-17,6657,Товар2,8,96.65
2023-09-26,4344,Товар5,10,94.32
2023-07-30,2717,Товар3,2,47.76
2024-01-20,6969,Товар4,8,36.32
2024-05-01,4226,Товар4,3,63.56
2023-10-29,5915,Товар1,1,29.29
2024-04-30,4038,Товар3,6,71.02
2024-02-05,1903,Товар3,6,68.69
2023-12-21,6185,Товар3,4,88.5
2023-08-26,3298,Товар1,5,40.6
2023-10-12,1843,Товар3,6,25.34
2024-02-19,6006,Товар5,5,18.38
2023-11-29,9253,Товар3,9,55.3
2023-09-12,5969,Товар3,3,67.61
2023-09-19,6297,Товар5,2,52.95
2024-02-24,5596,Товар5,2,27.56
2023-09-30,3608,Товар4,9,21.37
2024-07-06,9434,Товар5,10,46.84
2024-02-14,7991,Товар2,6,43.58
2024-03-13,8375,Товар2,9,39.99
2023-11-26,5526,Товар5,7,88.42
2024-04-20,9342,Товар4,9,17.14
2024-04-16,2484,Товар5,4,16.83
2024-02-21,2469,Товар4,2,22.84
2024-01-08,7016,Товар4,9,21.07
2024-07-06,8767,Товар2,4,61.38
2023-08-17,5904,Товар4,10,14.41
2024-02-10,6481,Товар4,4,80.6
2023-12-24,5747,Товар2,10,73.82
2024-03-16,4232,Товар4,1,18.59
2023-08-23,9559,Товар4,5,93.18
2024-05-19,3539,Товар4,3,65.54
2023-09-24,7649,Товар3,7,61.69
2024-04-16,1109,Товар4,2,90.13
2024-02-18,5062,Товар2,1,70.75
2024-03-05,7412,Товар2,10,81.73
2024-03-19,1311,Товар3,6,56.33
2023-11-20,9533,Товар3,3,52.21
2023-11-13,2708,Товар4,6,37.47
2023-08-31,2058,Товар5,9,69.07
2024-06-22,3198,Товар4,4,49.61
2023-08-30,4586,Товар2,9,96.93
2024-04-03,4369,Товар4,10,83.34
2023-09-22,5133,Товар4,8,53.86
2024-03-10,3993,Товар1,5,11.27
2023-08-04,3378,Товар1,5,25.73
2023-11-09,5572,Товар1,2,92.98
2023-07-29,4332,Товар1,7,79.2
2024-07-20,3512,Товар3,4,97.14
2024-02-07,8151,Товар5,9,71.67
2023-11-27,1741,Товар2,5,13.49
2024-01-25,1732,Товар4,4,36.87
2023-08-15,1563,Товар2,9,34.44
2023-11-02,7981,Товар5,9,71.52
2024-07-14,3001,Товар1,9,49.54
2023-08-09,2212,Товар4,3,87.12
2024-06-10,1539,Товар2,3,30.91
2024-07-17,1652,Товар3,2,21.7
2023-10-15,7477,Товар1,3,67.58
2023-11-13,6869,Товар3,6,38.24
2023-09-23,4897,Товар1,1,46.01
2024-07-16,2958,Товар1,5,88.51
2023-12-24,7382,Товар1,4,98.16
2024-07-11,5105,Товар4,9,67.4
2024-07-23,3620,Товар4,6,45.94
2023-09-20,4323,Товар1,9,92.23
2024-02-20,8375,Товар3,6,27.02
2023-08-13,4581,Товар3,8,20.27
2024-03-22,9875,Товар4,7,42.72
2024-04-16,2783,Товар3,7,37.19
2024-02-04,8335,Товар2,6,42.47
2023-09-04,9182,Товар1,3,78.6
2024-03-26,6344,Товар1,1,65.07
2024-01-21,9417,Товар3,6,58.6
2024-03-19,9800,Товар5,3,90.97
2024-03-14,4407,Товар5,9,28.53
2023-12-07,1970,Товар5,4,51.0
2024-01-04,4526,Товар5,5,11.69
2024-02-01,5161,Товар1,2,10.86
2023-12-11,3360,Товар3,10,83.55
2024-07-21,1600,Товар1,9,27.38
2023-09-23,5027,Товар3,5,21.56
2024-04-04,7051,Товар4,5,79.75
2024-07-17,1930,Товар4,8,44.63
2023-08-11,3318,Товар3,6,85.05
2023-12-10,6390,Товар3,3,24.83
2023-09-08,4610,Товар3,4,73.68
2023-11-22,7712,Товар5,4,97.36
2024-05-14,2778,Товар3,5,89.93
2023-10-06,8938,Товар1,8,18.55
2024-01-10,7810,Товар2,8,95.27
2023-09-18,3321,Товар5,4,30.85
2023-09-02,8039,Товар3,7,15.36
2024-04-27,8152,Товар1,6,13.74
2023-11-12,4297,Товар3,1,16.11
2024-06-17,9758,Товар4,8,97.83
2024-02-18,1707,Товар5,2,59.25
2024-05-25,3787,Товар5,7,95.17
2023-11-02,6882,Товар5,1,47.62
2024-07-21,2840,Товар3,5,23.52
2024-02-04,5972,Товар5,7,68.12
2024-06-06,8448,Товар3,7,99.65
2024-02-22,2855,Товар4,2,71.23
2023-10-07,7398,Товар5,3,54.28
2024-05-07,9632,Товар1,7,62.61
2024-01-16,4124,Товар5,5,84.69
2024-04-27,1829,Товар1,8,57.32
2023-08-23,8684,Товар2,3,28.69
2024-02-29,8954,Товар1,7,71.75
2024-02-06,6920,Товар4,4,76.39
2023-11-22,9513,Товар2,10,95.66
2023-12-23,7740,Товар4,1,54.93
2023-10-17,3546,Товар4,8,92.54
2024-04-13,7435,Товар1,10,25.92
2024-07-08,7808,Товар5,4,23.28
2024-02-20,6276,Товар4,4,85.96
2023-08-21,4403,Товар5,9,80.48
2023-08-07,2347,Товар2,1,53.54
2023-12-20,6569,Товар1,5,60.71
2023-10-06,1976,Товар2,4,72.32
2024-07-05,6674,Товар5,2,55.56
2024-07-06,2048,Товар5,4,15.73
2024-04-22,7961,Товар3,7,73.44
2023-10-23,7532,Товар1,6,68.93
2024-02-18,2805,Товар2,8,33.93
2023-12-27,7902,Товар4,9,24.9
2024-06-09,5979,Товар2,10,82.72
2024-04-17,8007,Товар5,2,76.04
2023-10-16,9061,Товар3,6,58.89
2024-04-26,4580,Товар5,2,93.47
2023-09-14,9487,Товар2,8,93.19
2024-02-15,7541,Товар5,1,78.1
2023-09-17,9061,Товар2,8,38.97
2023-08-29,9646,Товар4,2,37.82
2024-07-07,7985,Товар5,2,94.18
2024-05-05,7391,Товар1,2,76.57
2023-10-09,1771,Товар3,1,54.11
2024-07-07,3619,Товар1,1,32.23
2024-05-14,8438,Товар3,5,20.42
2024-04-23,4497,Товар1,4,11.01
2024-07-01,3967,Товар1,2,77.34
2024-06-01,1404,Товар4,1,58.67
2024-03-23,6396,Товар1,10,29.84
2024-04-05,1925,Товар4,8,13.34
2024-04-17,5579,Товар5,1,82.99
2023-12-25,5226,Товар3,10,42.77
2024-02-18,7241,Товар1,8,12.74
2024-05-18,4265,Товар3,1,60.47
2024-02-29,2502,Товар4,7,84.8
2023-09-04,3741,Товар1,8,33.45
2023-10-27,5251,Товар4,4,28.75
2023-08-21,5918,Товар3,6,79.95
2024-04-23,3553,Товар1,8,55.92
2023-11-03,9263,Товар3,5,95.96
2023-09-14,7329,Товар3,9,39.0
2024-05-20,9567,Товар5,3,63.94
2024-03-03,7340,Товар5,5,45.62
2024-04-14,4950,Товар2,7,79.35
2024-07-05,5281,Товар1,5,55.7
2024-04-13,1908,Товар3,10,12.94
2024-02-04,1591,Товар1,10,90.18
2024-05-09,3935,Товар2,5,42.03
2024-06-26,7789,Товар2,4,15.48
2023-08-26,8233,Товар5,6,71.19
2024-04-30,6023,Товар2,9,90.28
2024-03-30,3411,Товар2,9,69.8
2023-10-09,8940,Товар2,6,75.21
2024-02-02,1035,Товар5,7,41.22
2023-12-28,5711,Товар3,8,16.66
2023-12-31,1846,Товар1,5,68.64
2023-11-13,9830,Товар1,9,74.65
2024-04-05,8905,Товар1,5,33.57
2023-09-15,5725,Товар3,7,82.51
2024-01-06,2635,Товар3,5,14.38
2024-03-05,4340,Товар1,6,76.42
2023-12-13,1465,Товар2,5,74.38
2023-12-09,5509,Товар4,3,61.56
2023-08-31,9015,Товар4,5,63.29
2023-11-05,2273,Товар4,8,64.75
2023-09-08,3552,Товар2,6,74.33
2024-02-12,8566,Товар2,8,53.09
2023-09-16,5052,Товар3,10,63.99
2023-11-14,4776,Товар5,8,58.34
2024-05-16,2116,Товар3,6,88.43
2023-08-04,9323,Товар2,2,25.59
2024-05-08,6031,Товар4,3,18.26
2024-02-27,8748,Товар5,1,21.97
2024-04-02,6789,Товар5,5,85.42
2024-03-11,2624,Товар5,1,88.66
2024-07-22,8707,Товар4,4,85.61
2024-02-29,3818,Товар2,9,21.54
2024-03-29,8734,Товар4,7,76.69
2023-09-28,9826,Товар2,2,67.23
2023-11-21,1587,Товар3,6,31.67
2023-10-06,6320,Товар1,1,24.46
2023-08-19,2669,Товар5,1,64.25
2023-08-28,2959,Товар5,2,83.26
2023-08-27,1303,Товар2,9,59.18
2024-04-22,4002,Товар2,9,48.32
2023-09-21,3985,Товар1,4,86.17
2023-08-29,9548,Товар4,8,80.43
2024-05-16,3357,Товар2,8,67.46
2024-05-08,3151,Товар4,9,37.25
2023-10-30,9639,Товар3,2,64.77
2024-03-13,7490,Товар5,5,78.07
2024-04-06,6900,Товар4,6,40.71
2023-09-04,5292,Товар5,6,64.4
2024-02-28,6759,Товар1,7,94.32
2024-03-26,3104,Товар3,3,41.94
2024-06-22,2600,Товар1,9,78.5
2024-05-13,2384,Товар2,8,17.31
2023-12-25,3055,Товар2,2,76.23
2024-05-05,9326,Товар4,3,68.97
2023-08-06,9079,Товар1,5,26.65
2024-01-11,6238,Товар5,7,56.31
2023-08-15,7788,Товар3,7,57.79
2024-02-06,9440,Товар3,10,42.55
2023-10-04,5922,Товар2,3,12.67
2024-06-30,7440,Товар4,2,60.03
2023-08-23,1555,Товар3,3,97.86
2023-10-23,3777,Товар5,10,88.46
2024-07-06,9892,Товар5,8,36.7
2023-10-02,7017,Товар2,4,45.25
2024-05-13,1087,Товар5,3,44.52
2023-08-12,1912,Товар4,10,88.38
2023-10-26,3600,Товар5,1,83.5
2024-04-21,4863,Товар5,2,95.32
2024-02-05,9705,Товар2,2,18.41
2024-04-13,1326,Товар5,4,16.6
2024-01-04,8382,Товар2,8,16.17
2023-11-24,1211,Товар5,4,52.98
2024-06-30,8210,Товар5,4,61.96
2023-10-07,2611,Товар4,1,85.29
2023-09-26,2112,Товар1,4,61.42
2023-11-30,4053,Товар2,9,67.56
2024-05-31,8354,Товар5,3,76.82
2024-06-30,5078,Товар3,4,11.73
2023-12-17,6723,Товар3,10,14.61
2023-09-02,7831,Товар4,3,54.03
2024-06-21,3856,Товар5,2,44.87
2023-09-13,7674,Товар2,10,75.5
2024-04-20,9395,Товар2,5,55.44
2023-11-30,8201,Товар3,2,87.29
2023-12-13,6029,Товар5,8,16.57
2023-08-18,4679,Товар4,1,96.65
2024-04-18,3916,Товар2,4,90.26
2023-08-25,1140,Товар3,1,96.91
2023-09-02,8334,Товар5,10,98.09
2024-03-14,1252,Товар3,4,15.9
2024-06-29,2315,Товар5,2,96.05
2024-04-13,1273,Товар4,2,57.51
2023-09-11,7112,Товар3,7,71.3
2024-01-15,5717,Товар2,1,87.66
2023-10-29,8352,Товар1,10,93.94
2024-07-23,5257,Товар1,4,22.36
2023-09-25,4262,Товар3,8,35.48
2024-01-12,2433,Товар3,10,40.01
2023-12-15,4871,Товар1,8,31.44
2023-11-06,2183,Товар4,3,58.92
2024-04-28,8355,Товар3,8,65.12
2023-11-07,3793,Товар1,3,27.06
2023-09-14,3441,Товар1,7,42.02
2024-05-29,7940,Товар5,7,60.8
2024-05-09,3388,Товар1,10,19.74
2023-09-11,8935,Товар5,10,16.08
2023-10-22,5581,Товар5,5,45.14
2023-08-19,2388,Товар4,1,40.11
2024-06-24,7927,Товар3,2,97.59
2024-04-09,5250,Товар3,9,38.29
2024-01-01,5105,Товар1,8,30.89
2024-05-16,7214,Товар5,7,49.0
2023-08-01,4057,Товар2,10,75.95
2024-01-14,7683,Товар1,8,93.61
2023-11-06,1547,Товар2,6,59.02
2024-07-16,3373,Товар2,4,67.69
2024-01-29,4982,Товар1,7,23.35
2024-03-23,8663,Товар1,7,15.28
2023-08-08,3014,Товар5,10,15.05
2024-02-17,4146,Товар3,2,65.35
2023-07-25,8587,Товар2,6,90.54
2024-07-23,1592,Товар4,6,15.79
2024-04-12,7842,Товар2,9,65.97
2024-07-11,4400,Товар4,7,91.44
2024-04-15,2947,Товар2,6,86.08
2023-08-14,3866,Товар4,4,52.52
2024-06-08,4009,Товар1,10,59.98
2023-10-12,2679,Товар2,7,75.38
2023-08-31,9816,Товар3,8,71.91
2024-06-20,1964,Товар1,10,90.65
2024-04-01,2900,Товар3,9,60.13
2023-10-18,8273,Товар2,8,27.8
2024-03-17,8912,Товар5,4,56.4
2024-06-11,2243,Товар5,10,96.4
2024-05-04,7931,Товар2,9,99.84
2023-10-11,8501,Товар1,7,94.41
2023-11-22,4940,Товар5,10,48.91
2024-02-13,4436,Товар5,4,59.16
2023-11-13,7760,Товар5,10,34.27
2023-08-24,4523,Товар1,9,82.71
2023-11-06,6693,Товар1,3,24.63
2023-08-19,1095,Товар4,2,55.25
2024-02-08,9203,Товар5,7,65.31
2024-03-08,8663,Товар2,9,73.99
2024-03-04,8337,Товар3,2,97.75
2024-03-11,4601,Товар1,1,38.66
2023-11-08,3881,Товар3,2,65.85
2023-11-05,8604,Товар4,7,41.19
2024-07-11,7873,Товар5,3,89.65
2023-12-05,1341,Товар3,10,23.92
2024-04-18,2105,Товар4,2,24.11
2024-07-24,4337,Товар1,10,36.0
2023-09-30,5939,Товар3,2,22.69
2024-03-13,2630,Товар2,5,64.83
2024-05-21,1159,Товар3,4,36.14
2024-04-09,1351,Товар5,9,64.12
2023-08-03,4904,Товар1,3,80.05
2023-09-15,8167,Товар1,7,49.56
2023-11-01,6683,Товар1,9,75.77
2024-02-08,6110,Товар4,7,74.05
2023-11-03,6400,Товар5,9,69.03
2024-04-13,7718,Товар3,5,23.87
2023-09-17,1813,Товар1,4,32.23
2023-10-10,8027,Товар4,9,72.68
2024-02-27,7136,Товар3,6,28.22
2024-01-09,9724,Товар1,10,37.77
2024-04-04,5821,Товар4,3,73.35
2024-06-11,7017,Товар4,5,99.46
2024-02-28,5154,Товар1,9,35.63
2023-09-07,4998,Товар3,1,46.69
2023-11-01,8310,Товар3,1,94.4
2024-03-03,8323,Товар4,9,52.51
2024-03-05,7945,Товар4,3,60.91
2024-01-15,4509,Товар5,2,84.36
2024-06-29,7646,Товар1,2,36.33
2023-08-04,9869,Товар2,4,79.72
2024-07-14,3612,Товар5,10,52.92
2024-01-27,8357,Товар1,5,60.96
2024-06-04,9043,Товар5,4,33.7
2023-10-17,8817,Товар4,6,47.43
2023-08-28,6324,Товар1,1,83.28
2024-03-13,8635,Товар1,7,82.63
2024-02-09,7868,Товар2,7,61.19
2023-12-13,3864,Товар3,8,99.77
2024-02-08,8800,Товар5,10,10.38
2024-05-19,4160,Товар4,2,36.19
2024-07-01,1879,Товар2,1,68.78
2023-10-16,3077,Товар5,6,21.06
2023-08-14,5119,Товар4,2,90.24
2023-08-21,2177,Товар2,10,24.75
2024-04-26,1715,Товар5,8,69.1
2024-05-19,4348,Товар3,7,77.69
2023-08-29,4167,Товар1,8,51.83
2024-07-13,2372,Товар3,4,37.03
2023-08-01,6948,Товар5,3,74.56
2024-05-01,4961,Товар2,4,34.86
2023-08-09,8878,Товар3,7,19.54
2024-07-22,9900,Товар3,10,44.0
2024-02-05,7580,Товар4,7,79.74
2024-04-28,5821,Товар4,1,25.16
2023-09-14,1856,Товар5,2,83.1
2024-06-17,4780,Товар2,3,20.11
2023-12-19,9127,Товар5,6,83.14
2024-05-19,3382,Товар5,7,50.33
2023-10-21,3077,Товар4,8,31.32
2023-08-08,6402,Товар4,5,35.5
2023-11-12,9479,Товар5,10,79.67
2023-09-15,6493,Товар4,9,12.46
2024-04-08,8403,Товар2,7,87.92
2024-04-14,6270,Товар5,6,73.16
2024-01-21,7024,Товар5,10,48.03
2024-01-19,2328,Товар4,4,98.22
2024-01-10,7062,Товар4,3,26.12
2024-05-30,9991,Товар4,4,23.14
2023-09-05,3666,Товар1,10,28.36
2023-11-03,5249,Товар4,4,53.9
2023-09-07,6782,Товар4,8,57.63
2024-07-07,4222,Товар1,2,15.93
2023-12-16,2401,Товар1,4,90.88
2024-06-01,4238,Товар3,1,27.57
2023-11-22,8548,Товар2,7,83.61
2024-05-04,3933,Товар4,9,21.27
2024-04-25,3460,Товар2,2,49.09
2024-02-26,4075,Товар5,3,91.97
